sample_size lower1 upper1 lower2 upper2 lower3 upper3
57.1853 3.13269e-16 2.13029 1.8198 2.00093 1.84489 1.84489 
67.8806 0.0618453 3.14634 1.12976 1.88293 1.84489 1.84489 
47.0418 3.13269e-16 2.13029 1.12976 1.88293 1.27224 1.27224 
46.455 3.13269e-16 2.13029 1.12976 1.88293 1.6543 1.6543 
53.6624 3.13269e-16 2.13029 1.12976 1.88293 1.27418 1.27418 
56.7957 0.280653 2.31337 1.12976 1.88293 1.84489 1.84489 
34.7388 3.13269e-16 2.13029 1.12976 1.88293 1.48492 1.48492 
110.24 -3.27189 3.23533 1.12976 1.88293 1.84489 1.84489 
122.358 3.13269e-16 2.13029 1.12976 1.88293 1.85463 1.85463 
71.5588 3.13269e-16 2.13029 1.12976 1.88293 1.2673 1.2673 
123.845 3.13269e-16 2.13029 0.549943 2.12757 1.84489 1.84489 
27.8382 3.13269e-16 2.13029 1.12976 1.88293 1.86804 1.86804 
19.9865 3.13269e-16 2.13029 1.50357 1.99209 1.84489 1.84489 
2.09364 3.13269e-16 2.13029 0.193309 1.99679 1.84489 1.84489 
57.2899 -2.44719 2.34771 1.12976 1.88293 1.84489 1.84489 
91.385 3.13269e-16 2.13029 1.59067 1.995 1.84489 1.84489 
121.408 -0.557018 3.2541 1.12976 1.88293 1.84489 1.84489 
40.9259 3.13269e-16 2.13029 1.12976 1.88293 1.44426 1.44426 
68.7573 -3.01375 2.24752 1.12976 1.88293 1.84489 1.84489 
73.4968 3.13269e-16 2.13029 1.12976 1.88293 1.38287 1.38287 
57.754 0.245355 3.45303 1.12976 1.88293 1.84489 1.84489 
94.3825 3.13269e-16 2.13029 1.56712 1.94395 1.84489 1.84489 
65.496 3.13269e-16 2.13029 1.12976 1.88293 1.44187 1.44187 
46.4243 -1.34265 3.70826 1.12976 1.88293 1.84489 1.84489 
55.0302 3.13269e-16 2.13029 0.195172 2.10282 1.84489 1.84489 
60.7684 -3.95877 2.19008 1.12976 1.88293 1.84489 1.84489 
17.4411 3.13269e-16 2.13029 1.12976 1.88293 1.68964 1.68964 
65.0902 3.13269e-16 2.13029 0.020652 2.08131 1.84489 1.84489 
19.712 -2.48295 3.35146 1.12976 1.88293 1.84489 1.84489 
71.2382 3.13269e-16 2.13029 1.12976 1.88293 1.73799 1.73799 
70.3428 3.13269e-16 2.13029 1.12976 1.88293 1.29023 1.29023 
53.5046 3.13269e-16 2.13029 1.12976 1.88293 1.5708 1.5708 
46.6894 3.13269e-16 2.13029 1.08979 1.95349 1.84489 1.84489 
18.5298 3.13269e-16 2.13029 1.7772 1.9998 1.84489 1.84489 
69.2895 3.13269e-16 2.13029 1.1647 1.97632 1.84489 1.84489 
86.5839 3.13269e-16 2.13029 0.903623 2.11406 1.84489 1.84489 
68.8141 3.13269e-16 2.13029 1.32208 2.09849 1.84489 1.84489 
72.6071 3.13269e-16 2.13029 0.918878 1.88091 1.84489 1.84489 
