index,loop_n,restart,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature
1,1,0,2.65923,1.88293,1.84489,-2.23596,1.12976,0.0443738,0.516676,21.2905,47.7346,792.775,100
2,1,0,2.13029,1.99639,1.84489,3.13269e-16,1.67202,0.0385958,0.874641,72.9682,132.672,325.912,100
3,1,0,2.13029,1.9596,1.84489,3.13269e-16,0.436486,0.0506175,0.658721,29.6204,63.9853,24354,100
4,1,0,2.96204,1.88293,1.84489,-1.00887,1.12976,0.0434028,0.477281,19.0771,42.8076,848.575,100
5,1,0,2.86968,1.88293,1.84489,-0.245914,1.12976,0.0430074,0.590746,26.5947,57.3276,688.189,100
6,1,0,3.02815,1.88293,1.84489,-0.580584,1.12976,0.0431546,0.848284,52.3156,115.915,349.784,100
7,1,0,2.63378,1.88293,1.84489,-0.464555,1.12976,0.0442278,0.989968,115.712,250.247,250.247,100
8,1,0,2.13029,1.88293,-2.12552,3.13269e-16,1.12976,0.124221,0.982838,103.629,203.667,24194.5,100
9,1,0,2.51936,1.88293,1.84489,1.01032,1.12976,0.0328809,0.634373,42.9226,71.2916,634.903,100
10,1,0,2.10972,1.88293,1.84489,-3.11524,1.12976,0.0520547,0.977606,95.6882,206.78,23975.1,100
11,1,0,2.02248,1.88293,1.84489,0.378457,1.12976,0.0511699,0.442526,17.965,32.3916,24657.3,100
12,1,0,2.13029,1.96906,1.84489,3.13269e-16,1.64526,0.0398781,0.922117,86.2058,156.813,156.813,100
13,1,0,2.13029,1.88293,1.19921,3.13269e-16,1.12976,0.0800777,0.9681,87.6915,172.345,24027.1,100
14,1,0,2.13029,1.91752,1.84489,3.13269e-16,0.289011,0.0521892,0.984572,103.64,225.17,23993.9,100
15,1,0,2.13029,1.88293,-0.0486955,3.13269e-16,1.12976,0.122445,0.798996,37.428,73.5592,24368.7,100
16,1,0,2.13029,1.88293,-1.32634,3.13269e-16,1.12976,0.124219,0.935135,67.9383,133.523,24124.3,100
17,1,0,3.02587,1.88293,1.84489,-0.756261,1.12976,0.0432499,0.842474,51.2381,114.352,357.177,100
18,1,0,2.13029,1.88293,-0.637405,3.13269e-16,1.12976,0.124115,0.993721,130.997,257.456,24247.9,100
19,1,0,2.44024,1.88293,1.84489,-2.55258,1.12976,0.0460439,0.989055,112.014,248.316,248.316,100
20,1,0,3.90578,1.88293,1.84489,-2.8095,1.12976,0.0430598,0.979198,98.0553,224.668,224.668,99.901
21,1,0,3.25434,1.88293,1.84489,-3.51288,1.12976,0.0431544,0.994228,126.23,287.792,287.792,99.8021
22,1,0,3.90578,2.52349,1.84489,-2.8095,1.37008,0.0259913,0.981048,110.989,269.719,269.719,99.8021
23,1,0,3.90578,1.88293,0.704861,-2.8095,1.12976,0.107592,0.997895,143.419,328.609,24268.2,99.8021
24,1,0,3.90578,1.88293,1.35821,-2.8095,1.12976,0.0675812,0.976592,89.326,204.668,24020.9,99.8021
25,1,0,3.90578,1.88293,0.108482,-2.8095,1.12976,0.125502,0.964368,77.4556,177.469,24172.2,99.8021
26,1,0,3.90578,3.64286,1.84489,-2.8095,-0.126681,0.0325151,0.88258,55.2092,162.057,343.06,99.8021
27,1,0,3.79691,3.64286,1.84489,-2.78799,-0.126681,0.0325236,0.970998,83.9784,246.331,246.331,99.7033
28,1,0,3.79691,3.28644,1.84489,-2.78799,0.461389,0.0320972,0.99759,131.749,373.406,373.406,99.6046
29,1,0,3.99732,3.64286,1.84489,-2.80267,-0.126681,0.0325107,0.863929,51.9878,152.669,362.421,99.6046
30,1,0,3.79691,3.64286,1.35178,-2.78799,-0.126681,0.0877376,0.99434,90.9105,266.665,24145,99.6046
31,1,0,3.79691,3.64286,0.718046,-2.78799,-0.126681,0.22751,0.998231,83.5309,245.018,24554.3,99.6046
32,1,0,3.83579,3.64286,1.84489,-2.99681,-0.126681,0.0325201,0.983994,95.5126,280.243,280.243,99.6046
33,1,0,3.97006,3.64286,1.84489,-1.98732,-0.126681,0.0325106,0.992561,109.965,322.804,322.804,99.6046
34,1,0,3.81759,3.64286,1.84489,-3.20897,-0.126681,0.0325216,0.999309,152.666,447.88,447.88,99.506
35,1,0,3.97006,2.85763,1.84489,-1.98732,-0.172422,0.0327657,0.860589,51.3868,147.321,362.223,99.506
36,1,0,3.96581,3.64286,1.84489,-2.65082,-0.126681,0.032512,0.998353,137.356,403.304,403.304,99.506
37,1,0,3.97006,3.94318,1.84489,-1.98732,3.31892,0.000460214,0.25318,63.2162,137.544,1288.76,99.506
38,1,0,3.97006,3.64286,1.96885,-1.98732,-0.126681,0.0244869,0.98804,107.238,314.797,314.797,99.506
39,1,0,3.97006,3.64286,2.46077,-1.98732,-0.126681,0.00696582,0.939789,96.6366,283.678,283.678,99.4076
40,1,0,3.97006,3.64286,1.87841,-1.98732,-0.126681,0.0301526,0.958672,78.386,230.103,230.103,99.3092
41,1,0,3.96193,3.64286,1.87841,-3.52502,-0.126681,0.030154,0.76804,40.9104,120.121,477.686,99.2109
42,1,0,3.97006,3.6555,1.87841,-1.98732,0.916243,0.0280748,0.966615,86.5489,243.89,243.89,99.2109
43,1,0,3.78695,3.6555,1.87841,-3.32734,0.916243,0.0280884,0.971789,90.0932,253.242,253.242,99.1126
